id x y theta
9 58.58 433.02 -1.558
10 489.53 544.51 -2.928
11 38.48 458.63 -1.721
12 156.75 450.79 -1.805
13 165.46 637.24 1.329
14 590.94 635.47 -1.018
15 240.35 695.81 0.302
28
1 705.80 181.57 0.992
2 500.57 61.61 -2.596
3 245.30 451.70 1.218
4 729.09 205.24 -1.770
5 736.93 232.89 -1.934
6 544.93 442.02 0.898
7 737.99 469.64 1.923
8 36.27 419.38 -1.921
9 61.77 427.56 -1.428
10 483.70 542.49 -2.998
11 38.29 456.53 -1.714
12 156.25 447.44 -1.887
13 165.47 637.25 1.329
14 593.39 631.65 -1.045
15 249.23 698.10 0.302
29
1 705.30 182.77 1.064
2 491.00 56.49 -2.654
3 248.77 459.50 1.156
4 728.95 205.87 -1.793
5 735.74 230.92 -1.932
6 548.04 446.24 0.876
7 733.17 482.97 1.867
8 35.91 418.55 -1.848
9 64.65 417.80 -1.396
10 480.59 541.53 -3.026
11 37.44 454.01 -1.699
12 155.64 443.85 -1.902
13 165.46 637.23 1.329
14 595.87 626.26 -0.995
15 259.48 700.99 0.258
30
1 704.98 183.19 1.065
2 479.99 51.98 -2.677
3 251.76 466.54 1.203
4 728.54 204.49 -1.771
5 733.42 229.70 -1.892
6 552.43 449.77 0.855
7 730.33 494.45 1.876
8 35.89 417.16 -1.782
9 67.15 408.40 -1.524
10 473.40 539.87 -2.897
11 36.57 452.36 -1.629
12 154.13 437.78 -1.832
13 165.49 637.28 1.327
14 598.80 620.24 -1.024
15 269.12 703.18 0.231
31
1 704.56 183.81 1.076
2 471.58 49.69 -2.693
3 254.81 473.35 1.170
4 728.69 204.55 -1.723
5 732.57 230.25 -1.916
6 556.97 454.82 0.788
7 727.75 508.17 1.846
8 35.91 414.53 -1.695
9 67.14 398.74 -1.573
10 471.87 537.48 -2.770
11 36.45 450.48 -1.627
12 151.86 432.36 -1.827
13 165.46 637.16 1.319
14 601.46 615.74 -1.030
15 278.76 704.79 0.230
32
1 703.03 185.48 1.275
2 461.21 46.66 -2.826
3 258.78 481.03 1.076
4 728.84 203.19 -1.770
5 731.95 230.92 -2.023
6 561.60 459.61 0.823
7 723.68 520.57 1.931
8 36.21 411.14 -1.657
9 65.88 386.93 -1.688
10 471.67 533.30 -2.563
11 36.74 447.85 -1.579
12 150.62 426.51 -1.901
13 165.44 637.17 1.316
14 604.80 612.11 -0.967
15 288.49 707.03 0.270
33
1 701.70 188.72 1.408
2 450.62 43.57 -2.815
3 264.79 489.48 1.018
4 728.89 201.71 -1.767
5 730.88 231.66 -2.112
6 565.80 462.96 0.783
