X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
632.97	826.47	NaN	357.47	237.7	NaN	444.92	807.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
646.52	823.4	NaN	357.72	233.87	NaN	446.6	808.53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
656.28	818.3	NaN	345.41	239.35	NaN	446.93	806.97	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
666.67	811.92	NaN	334.75	257.38	NaN	446.63	806.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
679.36	802.1	NaN	324.21	270.05	NaN	446.3	805.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
689.38	793.86	NaN	307.27	282.04	NaN	445.87	804.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
707.62	780.55	NaN	291.72	298.08	NaN	445.42	803.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
725.84	766.59	NaN	262.6	323.57	NaN	444.68	800.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
741.59	752.67	NaN	NaN	NaN	NaN	444.34	800.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
749.63	740.72	NaN	NaN	NaN	NaN	443.77	798.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
757.11	727.13	NaN	NaN	NaN	NaN	443.64	797.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
763.57	723.39	NaN	233.08	337.64	NaN	438.39	791.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
765.03	719.92	NaN	240.15	341.48	NaN	434.94	789.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
766.45	718.98	NaN	248.38	341.46	NaN	429.96	782.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
767.35	717.42	NaN	256.89	350.52	NaN	422.11	777.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
767.03	716.6	NaN	260.15	363.21	NaN	410.96	769.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
774.06	708.81	NaN	265.56	389.8	NaN	392.78	761.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
776.57	704.38	NaN	271.45	426.83	NaN	371.18	753.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
780.18	697.02	NaN	271.72	470.46	NaN	358.86	755.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
784.32	687.92	NaN	260.83	510.25	NaN	355.38	763.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
789.44	675.81	NaN	242.15	527.52	NaN	360.54	764.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
792.58	658.94	NaN	216.51	540.43	NaN	360.71	764.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	126.49	454.97	NaN
790.39	644.42	NaN	187.36	535.54	NaN	359.84	765.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	123.97	471.68	NaN
