X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
107.77	365.05	NaN	300.44	302.99	NaN	431.59	307.8	NaN	147.17	410.46	NaN	182.47	405.32	NaN
107.44	364.64	NaN	300.73	302.94	NaN	431.63	307.79	NaN	146.94	410.21	NaN	182.8	405.27	NaN
107.02	364.38	NaN	301.12	303.13	NaN	431.62	307.75	NaN	145.97	409.42	NaN	182.84	405.31	NaN
106.56	363.79	NaN	301.24	303.19	NaN	431.61	307.6	NaN	145.77	409.5	NaN	182.87	405.24	NaN
105.99	362.92	NaN	301.43	303.27	NaN	431.63	307.52	NaN	145.53	409.31	NaN	182.83	405.31	NaN
105.69	362.33	NaN	301.64	303.27	NaN	431.67	307.49	NaN	144.65	408.65	NaN	182.66	405.41	NaN
105.36	361.91	NaN	301.86	303.51	NaN	431.72	307.63	NaN	144.15	408.21	NaN	182.54	405.46	NaN
105.14	361.35	NaN	301.98	303.59	NaN	431.67	307.4	NaN	143.54	407.74	NaN	182.48	405.43	NaN
104.81	360.73	NaN	302.39	303.74	NaN	431.67	307.4	NaN	143.12	407.31	NaN	182.69	405.38	NaN
104.39	359.96	NaN	302.59	303.81	NaN	431.67	307.4	NaN	142.06	406.49	NaN	182.32	405.37	NaN
103.9	359.3	NaN	302.87	303.99	NaN	431.65	307.42	NaN	141.36	406.3	NaN	182.31	405.42	NaN
103.55	358.9	NaN	303.16	304.13	NaN	431.62	307.35	NaN	140.86	405.9	NaN	182.83	405.33	NaN
103.03	357.82	NaN	303.21	304.23	NaN	431.62	307.35	NaN	140.19	405.33	NaN	182.43	405.38	NaN
102.71	357.22	NaN	303.52	304.39	NaN	431.62	307.35	NaN	139.81	404.91	NaN	182.33	405.46	NaN
102.24	356.55	NaN	303.82	304.48	NaN	431.62	307.35	NaN	139.47	404.63	NaN	182.26	405.43	NaN
101.95	356.17	NaN	304.04	304.63	NaN	431.57	307.23	NaN	138.9	404.07	NaN	182.35	405.37	NaN
101.74	355.75	NaN	304.53	304.84	NaN	431.57	307.23	NaN	138.11	403.58	NaN	182.35	405.41	NaN
101.07	355.07	NaN	304.84	304.86	NaN	431.57	307.23	NaN	137.31	402.8	NaN	182.43	405.37	NaN
100.72	354.07	NaN	305.05	304.92	NaN	431.66	307.54	NaN	136.88	402.5	NaN	182.55	405.36	NaN
100.5	353.37	NaN	305.33	304.89	NaN	431.6	307.26	NaN	135.95	402.2	NaN	182.49	405.37	NaN
100.33	352.86	NaN	305.91	304.98	NaN	431.66	307.44	NaN	135.69	401.7	NaN	182.33	405.55	NaN
99.752	351.84	NaN	306.16	305.09	NaN	431.63	307.31	NaN	135.82	401.39	NaN	182.39	405.53	NaN
99.702	351.74	NaN	306.41	305.21	NaN	431.61	307.25	NaN	135.33	400.83	NaN	182.33	405.55	NaN
99.316	350.99	NaN	306.59	305.32	NaN	431.63	307.31	NaN	135.23	400.66	NaN	183.05	405.5	NaN
99.18	350.63	NaN	306.99	305.54	NaN	431.58	307.52	NaN	135.01	400.52	NaN	183.58	405.1	NaN
98.981	350.29	NaN	307.47	305.71	NaN	431.36	307.58	NaN	134.42	400.24	NaN	183.62	405.05	NaN
98.509	349.75	NaN	307.51	305.77	NaN	431.44	307.77	NaN	133.82	399.67	NaN	183.68	404.92	NaN
98.223	349.13	NaN	307.79	305.92	NaN	431.28	308.12	NaN	133.79	399.73	NaN	183.62	404.91	NaN
97.919	348.79	NaN	308.27	306.03	NaN	431.23	308.71	NaN	133.43	399.39	NaN	183.3	404.97	NaN
97.335	347.98	NaN	308.81	306.2	NaN	430.96	308.48	NaN	132.91	399.15	NaN	183.02	405.23	NaN
96.981	347.25	NaN	308.89	306.21	NaN	430.91	309.04	NaN	132.43	398.74	NaN	182.95	405.27	NaN
96.358	346.41	NaN	309.24	306.37	NaN	430.89	309.44	NaN	132.4	398.75	NaN	183.19	405.2	NaN
96.102	345.72	NaN	309.64	306.46	NaN	430.81	309.51	NaN	132.26	398.47	NaN	183.03	405.2	NaN
96.092	345.45	NaN	310.04	306.37	NaN	430.54	309.92	NaN	132.07	398.2	NaN	183.09	405.16	NaN
95.821	345.05	NaN	310.06	306.46	NaN	430.53	310.39	NaN	131.78	397.45	NaN	183.35	405.09	NaN
95.869	344.43	NaN	310.38	306.54	NaN	430.43	310.54	NaN	131.13	396.99	NaN	183.07	405.25	NaN
95.576	343.96	NaN	310.62	306.61	NaN	430.38	311.12	NaN	130.2	396.16	NaN	183.09	405.25	NaN
95.333	343.47	NaN	311.4	306.63	NaN	430.31	311.91	NaN	129.79	395.82	NaN	183.1	405.35	NaN
95.026	343.02	NaN	311.64	306.6	NaN	429.99	312.27	NaN	129.32	395.24	NaN	182.63	405.38	NaN
94.885	342.34	NaN	311.84	306.53	NaN	429.92	312.69	NaN	128.91	394.77	NaN	182.87	405.24	NaN
94.595	341.88	NaN	312.14	306.37	NaN	429.9	313.04	NaN	128.59	394.4	NaN	182.87	405.24	NaN
94.227	341.39	NaN	312.69	306.52	NaN	429.91	313.53	NaN	128.1	393.9	NaN	182.87	405.24	NaN
93.822	340.59	NaN	313.2	306.45	NaN	429.8	313.94	NaN	127.55	393.31	NaN	183.32	404.94	NaN
93.835	340.16	NaN	313.53	306.6	NaN	429.45	314.51	NaN	126.89	392.49	NaN	182.79	405.29	NaN
93.219	339.34	NaN	313.87	306.6	NaN	429.42	314.92	NaN	126.4	391.98	NaN	182.84	405.28	NaN
92.639	338.58	NaN	314.08	306.62	NaN	429.19	315.4	NaN	125.76	391.25	NaN	182.77	405.33	NaN
92.123	338.12	NaN	314.79	306.62	NaN	429.07	315.57	NaN	125.23	390.73	NaN	182.77	405.33	NaN
91.529	337.37	NaN	314.75	306.68	NaN	429.06	315.7	NaN	124.67	390.18	NaN	182.76	405.21	NaN
91.503	337.09	NaN	315.13	306.74	NaN	429.07	316.04	NaN	124.39	389.39	NaN	182.94	405.22	NaN
91.591	336.4	NaN	315.26	306.75	NaN	429.08	316.13	NaN	124.03	388.95	NaN	183.13	405.19	NaN
91.761	336.19	NaN	315.62	306.76	NaN	429.06	316.25	NaN	123.45	388.22	NaN	183.22	405.12	NaN
91.82	335.76	NaN	316.07	306.83	NaN	429.06	316.25	NaN	122.92	387.65	NaN	183.16	405.13	NaN
91.685	334.88	NaN	316.34	306.83	NaN	429.08	316.25	NaN	122.23	386.91	NaN	183.16	405.13	NaN
91.59	334.13	NaN	316.57	307.02	NaN	429.09	316.28	NaN	121.6	386.31	NaN	183.05	405.1	NaN
91.371	333.21	NaN	317.01	306.89	NaN	429.09	316.21	NaN	120.93	385.42	NaN	182.96	405.28	NaN
91.242	332.61	NaN	317.52	306.85	NaN	429.1	316.14	NaN	120.29	384.5	NaN	182.82	405.27	NaN
91.137	331.63	NaN	318.05	306.94	NaN	429.1	316.14	NaN	120.22	384.35	NaN	182.88	405.2	NaN
91.057	331.13	NaN	318.77	307.01	NaN	429.14	316.02	NaN	119.43	383.94	NaN	183.04	405.11	NaN
91	330.7	NaN	319.34	307.02	NaN	429.14	316.1	NaN	119.01	383.38	NaN	183.04	405.11	NaN
91.066	330.36	NaN	319.75	306.97	NaN	429.14	316.1	NaN	118.25	382.48	NaN	182.73	405.28	NaN
91.127	329.73	NaN	320.14	306.89	NaN	429.08	316.1	NaN	118.21	381.89	NaN	182.69	405.34	NaN
90.938	329.88	NaN	320.36	306.97	NaN	429.08	316.47	NaN	117.53	381.1	NaN	182.74	405.28	NaN
90.307	328.5	NaN	321.29	306.93	NaN	429.09	316.49	NaN	117.43	380.99	NaN	182.88	405.18	NaN
89.618	327.94	NaN	321.48	306.88	NaN	428.98	317.23	NaN	117.2	380.39	NaN	182.88	405.18	NaN
88.685	326.34	NaN	321.79	306.87	NaN	429.11	317.85	NaN	116.75	380.23	NaN	183.36	405.09	NaN
88.842	326.23	NaN	322.06	306.73	NaN	428.81	318.43	NaN	116.32	379.47	NaN	183.38	405.1	NaN
88.826	326	NaN	322.27	306.73	NaN	428.67	318.58	NaN	115.9	378.9	NaN	183.38	405.1	NaN
88.759	325.21	NaN	322.52	306.73	NaN	428.53	319.23	NaN	114.85	377.67	NaN	183.38	405.1	NaN
88.524	324.57	NaN	322.88	306.7	NaN	428.43	319.64	NaN	114.42	377.33	NaN	183.43	405.12	NaN
88.271	323.92	NaN	323.17	306.97	NaN	428.44	319.86	NaN	113.68	376.51	NaN	183.38	405.06	NaN
87.966	323.14	NaN	323.54	306.92	NaN	428.28	320.26	NaN	113	375.75	NaN	183.35	405.11	NaN
87.549	322.2	NaN	324.37	307.04	NaN	428.02	320.87	NaN	112.9	375.19	NaN	183.35	405.11	NaN
87.151	321.62	NaN	324.8	307.01	NaN	427.88	321.48	NaN	112.53	374.82	NaN	183.4	405.07	NaN
86.887	321.23	NaN	325.33	307.04	NaN	427.72	322.03	NaN	111.82	374.09	NaN	183.1	405.07	NaN
86.494	320.74	NaN	325.83	307.03	NaN	427.47	322.94	NaN	111.21	373.36	NaN	183.08	405.15	NaN
86.293	319.96	NaN	326.17	307.06	NaN	427.26	323.95	NaN	110.77	372.86	NaN	183.02	405.13	NaN
